"COD_INE";"ID_REL";"COD_GEO";"COD_PROV";"PROVINCIA";"NOMBRE_ACTUAL";"POBLACION_MUNI";"SUPERFICIE";"PERIMETRO";"COD_INE_CAPITAL";"CAPITAL";"POBLACION_CAPITAL";"HOJA_MTN25_ETRS89";"LONGITUD_ETRS89";"LATITUD_ETRS89";"ORIGENCOOR";"ALTITUD";"ORIGENALTITUD"
"02072000000";"1020729";"02710";"02";"Albacete";"Socovos";1788;13860.66;64917.00;"02072000401";"Socovos";"1162";"0889-2";-1.98;38.33;"Mapa";734.00;"MDT5"
"02073000000";"1020735";"02720";"02";"Albacete";"Tarazona de la Mancha";6363;21268.09;67722.00;"02073000101";"Tarazona de la Mancha";"6342";"0742-2";-1.91;39.26;"Mapa";713.00;"MDT5"
"02074000000";"1020740";"02730";"02";"Albacete";"Tobarra";7754;32464.95;79846.00;"02074000601";"Tobarra";"6778";"0843-1";-1.69;38.59;"Mapa";652.00;"MDT5"
"02075000000";"1020753";"02740";"02";"Albacete";"Valdeganga";1958;7065.62;42767.00;"02075000102";"Valdeganga";"1946";"0766-2";-1.67;39.13;"Mapa";667.00;"MDT5"
"02076000000";"1020766";"02750";"02";"Albacete";"Vianos";359;12803.51;91378.00;"02076000102";"Vianos";"356";"0841-1";-2.50;38.63;"Mapa";1118.00;"MDT5"
"02077000000";"1020772";"02760";"02";"Albacete";"Villa de Ves";59;5753.56;35387.00;"02077000101";"Villa de Ves";"45";"0744-4";-1.25;39.22;"Mapa";744.00;"MDT5"
"02078000000";"1020788";"02770";"02";"Albacete";"Villalgordo del Júcar";1125;4668.49;32688.00;"02078000101";"Villalgordo del Júcar";"1102";"0742-1";-2.06;39.29;"Mapa";683.00;"MDT5"
"02079000000";"1020791";"02780";"02";"Albacete";"Villamalea";4124;12799.10;63499.00;"02079000103";"Villamalea";"4116";"0718-4";-1.59;39.36;"Mapa";739.00;"MDT5"
"02080000000";"1020805";"02790";"02";"Albacete";"Villapalacios";594;8747.74;41446.00;"02080000101";"Villapalacios";"593";"0840-4";-2.63;38.57;"Mapa";837.00;"MDT5"
"02081000000";"1020812";"02800";"02";"Albacete";"Villarrobledo";25317;86240.78;140710.00;"02081000301";"Villarrobledo";"25111";"0740-2";-2.60;39.26;"Mapa";728.00;"MDT5"
