"Province";"Name";"Population";"Longitude";"Latitude";"Autonomous_Community"
"Alacant/Alicante";"Teulada";10097;0.1;38.72;"País Vasco/Euskadi"
"Alacant/Alicante";"Tibi";1603;-0.57;38.53;"País Vasco/Euskadi"
"Alacant/Alicante";"Tollos";50;-0.27;38.75;"País Vasco/Euskadi"
"Alacant/Alicante";"Tormos";333;-0.07;38.8;"País Vasco/Euskadi"
"Alacant/Alicante";"Torremanzanas/la Torre de les Maçanes";682;-0.41;38.6;"País Vasco/Euskadi"
"Alacant/Alicante";"Torrevieja";83252;-0.68;37.97;"País Vasco/Euskadi"
"Alacant/Alicante";"la Vall d'Alcalà";168;-0.25;38.79;"País Vasco/Euskadi"
"Alacant/Alicante";"la Vall d'Ebo";232;-0.15;38.8;"País Vasco/Euskadi"
"Alacant/Alicante";"Vall de Gallinera";594;-0.22;38.82;"País Vasco/Euskadi"
"Alacant/Alicante";"la Vall de Laguar";825;-0.1;38.77;"País Vasco/Euskadi"
"Alacant/Alicante";"el Verger";4421;0.01;38.84;"País Vasco/Euskadi"
"Alacant/Alicante";"Villajoyosa/la Vila Joiosa";33607;-0.23;38.5;"País Vasco/Euskadi"
"Alacant/Alicante";"Villena";33968;-0.86;38.62;"País Vasco/Euskadi"
"Alacant/Alicante";"els Poblets";2926;0.01;38.85;"País Vasco/Euskadi"
"Alacant/Alicante";"Pilar de la Horadada";21202;-0.79;37.86;"País Vasco/Euskadi"
"Alacant/Alicante";"Los Montesinos";4862;-0.74;38.02;"País Vasco/Euskadi"
"Alacant/Alicante";"San Isidro";1920;-0.83;38.17;"País Vasco/Euskadi"
"Almería";"Abla";1267;-2.77;37.14;"País Vasco/Euskadi"
"Almería";"Abrucena";1170;-2.79;37.13;"País Vasco/Euskadi"
"Almería";"Adra";24697;-3.02;36.74;"País Vasco/Euskadi"
"Almería";"Albanchez";754;-2.18;37.28;"País Vasco/Euskadi"
"Almería";"Alboloduy";610;-2.62;37.03;"País Vasco/Euskadi"
"Almería";"Albox";11481;-2.14;37.38;"País Vasco/Euskadi"
"Almería";"Alcolea";811;-2.96;36.97;"País Vasco/Euskadi"
"Almería";"Alcóntar";577;-2.59;37.33;"País Vasco/Euskadi"
"Almería";"Alcudia de Monteagud";148;-2.26;37.23;"País Vasco/Euskadi"
"Almería";"Alhabia";678;-2.58;36.98;"País Vasco/Euskadi"
"Almería";"Alhama de Almería";3653;-2.56;36.95;"País Vasco/Euskadi"
"Almería";"Alicún";217;-2.6;36.96;"País Vasco/Euskadi"
"Almería";"Almería";195389;-2.46;36.83;"País Vasco/Euskadi"
"Almería";"Almócita";174;-2.78;37;"País Vasco/Euskadi"
"Almería";"Alsodux";132;-2.59;37;"País Vasco/Euskadi"
"Almería";"Antas";3124;-1.91;37.24;"País Vasco/Euskadi"
"Almería";"Arboleas";4463;-2.07;37.35;"País Vasco/Euskadi"
"Almería";"Armuña de Almanzora";327;-2.41;37.34;"País Vasco/Euskadi"
"Almería";"Bacares";244;-2.45;37.26;"País Vasco/Euskadi"
